Car Names,Mileages,Ratings,Reviews,used/certified,price drop,Price
2019 Honda Accord Sport,Mileage,3.7,3,Used,501,27995
2015 Chevrolet Corvette Stingray Z51,29192,3.7,3,Used,277,52000
2020 Jeep Grand Cherokee Overland,53561,4.8,1147,Used,2000,41998
2019 Audi A7 3.0T Prestige,46664,4.9,1831,Used,2090,62750
2017 Ford Mustang GT Premium,21726,4,409,Used,200,29995
2016 Jeep Grand Cherokee Limited,66514,4.6,1348,Used,2000,26499
2018 Jeep Grand Cherokee High Altitude,52607,3.3,329,Used,2074,39944
2016 Ford Fusion SE,45046,4.3,73,Ford Certified,2250,14756
2021 Ford F-150 Raptor,43502,3.5,193,Used,890,123500
2019 GMC Yukon Denali,5386,4.7,267,Used,5000,61974
2022 Kia Telluride SX,62129,4.8,1305,Used,110,54500
2018 Jeep Wrangler Unlimited Sport,10100,4.6,317,Jeep Certified,2000,36277
2015 Toyota 4Runner Limited,68884,4.4,580,Used,3200,33050
2020 Toyota Camry SE,57311,5,3,Used,738,33677
2016 INFINITI Q50 3.0T Red Sport 400,21713,4.7,1338,Used,1489,28900
2017 Ford F-150 Raptor,74765,5,1,Used,340,56999
2013 Lexus GS 350 Base,66000,4.7,659,Used,670,16990
2021 Mitsubishi Mirage ES,48605,3.3,239,Used,499,15165
2022 Subaru Outback Touring,19844,4.6,2411,Used,400,39747
2017 Lexus ES 350 Base,28271,3.7,3,Used,240,29500
2021 Toyota Land Cruiser Heritage Edition,56748,4.1,57,Used,500,97900
2017 BMW M3 Base,11194,4.7,743,Used,284,53789
2011 Toyota Avalon Limited,19847,4.6,33,Used,1896,8999
2020 Ford Mustang EcoBoost Premium,178400,4.7,738,Used,2469,30223
2019 Acura ILX Technology & A-Spec,45111,4.7,2792,Used,620,24995
2019 Subaru Outback 3.6R Touring,41045,4.4,39,Used,248,32900
2018 Nissan Frontier S,19181,4.7,1338,Used,1067,29997
2020 Lamborghini Urus Base,21256,4.8,1666,Used,1000,280000
